Date_,Close_INFY.NS,Close_TCS.NS,High_INFY.NS,High_TCS.NS,Low_INFY.NS,Low_TCS.NS,Open_INFY.NS,Open_TCS.NS,Volume_INFY.NS,Volume_TCS.NS
2023-01-02,1427.211669921875,3121.404541015625,1429.552896414529,3126.5728072808856,1408.5287282375762,3096.2817059489025,1417.846763951259,3120.9739105745166,3801140,709547
2023-01-03,1425.853759765625,3169.161865234375,1435.3122916370958,3177.440343751405,1418.8768364447278,3105.947982748461,1423.3251666418857,3112.3602403251716,4551130,1245178
2023-01-04,1399.8660888671875,3172.320068359375,1424.4020950067627,3184.474922008757,1396.4010053183051,3145.091747509391,1424.4020950067627,3164.711485133984,7059590,1231668
2023-01-05,1381.5107421875,3168.922607421875,1410.261069176281,3193.9975417739574,1375.9386694302398,3141.0241581211785,1410.261069176281,3187.2023198494617,9868404,1826057
2023-01-06,1356.5067138671875,3073.6474609375,1381.3237162265114,3159.782899363974,1354.6337325570498,3062.593366274636,1376.6412629511672,3158.2994089707186,6443714,2488376
2023-01-09,1390.17333984375,3177.392333984375,1394.7621663647355,3184.139655910958,1356.2255576840662,3082.834728490064,1356.2255576840662,3090.3477453971996,11498717,2885060
2023-01-10,1376.4071044921875,3145.283447265625,1389.6584697803341,3156.385442223344,1361.7042473170561,3091.401129522859,1387.8791147184363,3143.9436560653985,7158624,3864655
2023-01-11,1377.8116455078125,3185.7666015625,1399.1168043423427,3205.6735027069485,1371.0220893957094,3130.6877340874107,1376.6410323850362,3148.8242138558544,6173092,2720512
2023-01-12,1386.56787109375,3191.17431640625,1390.6884523345761,3206.152217631663,1362.5937361257968,3173.1815348415107,1387.8321104596064,3186.053949998748,6591385,2250391
2023-01-13,1408.154052734375,3229.648193359375,1422.903779047324,3233.907065373371,1374.768141422796,3163.0845963477336,1389.2837450958568,3199.357091750638,11610426,1742837
2023-01-16,1428.6165771484375,3198.47021484375,1430.95780392187,3216.649562336536,1406.8900384180706,3163.934162280638,1414.1009711531567,3182.1135097734236,6073063,1843607
2023-01-17,1441.7274169921875,3241.016357421875,1444.255896127642,3244.2782360306937,1427.2118112998335,3185.9506376172267,1430.0212833693213,3194.5846501852952,5922644,1688475
2023-01-18,1447.2525634765625,3252.144775390625,1453.292881983309,3270.3241219090673,1441.820872391935,3235.1165837200692,1446.643821736746,3242.5514279705935,5843098,2421189
2023-01-19,1441.1654052734375,3235.93212890625,1451.13905301362,3249.2667882049923,1429.2251501394285,3224.3240847821016,1442.1018958721831,3242.5514449757525,6165284,1585044
2023-01-20,1428.6632080078125,3226.338623046875,1446.8779035257678,3256.6054454598634,1427.2116019244468,3219.143612797339,1440.3224696586608,3228.161265291728,6496429,1529349
2023-01-23,1449.6873779296875,3276.031982421875,1454.6508235941217,3279.9653483878024,1431.0511930372077,3219.143621924313,1437.5130007248517,3250.2259726054035,4855020,1067916
2023-01-24,1453.339599609375,3296.561767578125,1469.1663115939925,3311.5752614522503,1451.3261222126828,3278.3344088801136,1460.92514963819,3285.721238983637,5200802,1387863
2023-01-25,1445.0050048828125,3290.278076171875,1457.1793827593365,3295.3145831767306,1441.024919807795,3266.534543148986,1448.7509673063582,3286.009083743606,4158617,874110
2023-01-27,1422.6697998046875,3272.33837890625,1452.450134009527,3305.867076792086,1411.6660346208291,3244.757508779212,1447.81455099958,3286.680384529799,6209955,1785879
2023-01-30,1441.07177734375,3294.01953125,1445.9414827242906,3317.811078885662,1423.465708381426,3247.875672255353,1431.7068713675565,3280.9247061517053,6964719,1953798
2023-01-31,1436.3424072265625,3222.117431640625,1450.5302621810438,3308.7454024736803,1416.9102279600907,3214.7306012436366,1450.5302621810438,3308.7454024736803,9448126,2820375
2023-02-01,1452.5904541015625,3269.748779296875,1456.2896603261233,3279.9656009819632,1431.0044157396635,3218.5681752835585,1444.2556654298946,3226.2428534958594,6194199,2205161
2023-02-02,1483.1668701171875,3319.681640625,1486.1635940724316,3327.93201257701,1453.4332959254143,3281.0206403021025,1453.4332959254143,3287.639955924305,6916834,1813847
2023-02-03,1497.8231201171875,3340.69140625,1502.7396958709587,3361.5089232299983,1473.099744891826,3312.4868244145277,1496.0437650760916,3361.5089232299983,7040194,1804469
